,date,prefecture,gender,age,medical_worker,status,count
63,2021-04-12,23,F,-64,False,1,2
64,2021-04-12,23,U,UNK,False,1,1
205,2021-04-13,23,F,-64,False,1,1
206,2021-04-13,23,M,-64,False,1,2
347,2021-04-14,23,F,-64,False,1,6
348,2021-04-14,23,F,65-,False,1,103
349,2021-04-14,23,M,65-,False,1,94
513,2021-04-15,23,F,-64,False,1,8
514,2021-04-15,23,F,65-,False,1,3
515,2021-04-15,23,M,-64,False,1,2
692,2021-04-16,23,F,-64,False,1,64
693,2021-04-16,23,F,65-,False,1,1
694,2021-04-16,23,M,-64,False,1,13
695,2021-04-16,23,M,65-,False,1,2
868,2021-04-17,23,F,-64,False,1,9
869,2021-04-17,23,F,65-,False,1,87
870,2021-04-17,23,M,-64,False,1,3
871,2021-04-17,23,M,65-,False,1,139
872,2021-04-17,23,U,UNK,False,1,1
999,2021-04-18,23,F,65-,False,1,460
1000,2021-04-18,23,M,65-,False,1,309
1160,2021-04-19,23,F,-64,False,1,207
1161,2021-04-19,23,F,65-,False,1,178
1162,2021-04-19,23,M,-64,False,1,44
1163,2021-04-19,23,M,65-,False,1,53
1164,2021-04-19,23,U,UNK,False,1,1
1389,2021-04-20,23,F,-64,False,1,334
1390,2021-04-20,23,F,65-,False,1,144
1391,2021-04-20,23,M,-64,False,1,66
1392,2021-04-20,23,M,65-,False,1,49
1393,2021-04-20,23,U,UNK,False,1,8
1623,2021-04-21,23,F,-64,False,1,321
1624,2021-04-21,23,F,65-,False,1,261
1625,2021-04-21,23,M,-64,False,1,70
1626,2021-04-21,23,M,65-,False,1,135
1627,2021-04-21,23,U,UNK,False,1,2
1856,2021-04-22,23,F,-64,False,1,310
1857,2021-04-22,23,F,65-,False,1,216
1858,2021-04-22,23,M,-64,False,1,76
1859,2021-04-22,23,M,65-,False,1,69
1860,2021-04-22,23,U,UNK,False,1,7
2088,2021-04-23,23,F,-64,False,1,307
2089,2021-04-23,23,F,65-,False,1,142
2090,2021-04-23,23,M,-64,False,1,73
2091,2021-04-23,23,M,65-,False,1,53
2092,2021-04-23,23,U,UNK,False,1,6
2313,2021-04-24,23,F,-64,False,1,122
2314,2021-04-24,23,F,65-,False,1,240
2315,2021-04-24,23,M,-64,False,1,42
2316,2021-04-24,23,M,65-,False,1,140
2317,2021-04-24,23,U,UNK,False,1,3
2523,2021-04-25,23,F,-64,False,1,46
2524,2021-04-25,23,F,65-,False,1,373
2525,2021-04-25,23,M,-64,False,1,13
2526,2021-04-25,23,M,65-,False,1,244
2527,2021-04-25,23,U,UNK,False,1,1
2718,2021-04-26,23,F,-64,False,1,285
2719,2021-04-26,23,F,65-,False,1,325
2720,2021-04-26,23,M,-64,False,1,100
2721,2021-04-26,23,M,65-,False,1,207
2722,2021-04-26,23,U,UNK,False,1,1
2951,2021-04-27,23,F,-64,False,1,390
2952,2021-04-27,23,F,65-,False,1,362
2953,2021-04-27,23,M,-64,False,1,85
2954,2021-04-27,23,M,65-,False,1,242
2955,2021-04-27,23,U,UNK,False,1,8
3187,2021-04-28,23,F,-64,False,1,486
3188,2021-04-28,23,F,65-,False,1,498
3189,2021-04-28,23,M,-64,False,1,86
3190,2021-04-28,23,M,65-,False,1,307
3191,2021-04-28,23,U,UNK,False,1,6
3410,2021-04-29,23,F,-64,False,1,15
3411,2021-04-29,23,F,65-,False,1,207
3412,2021-04-29,23,M,-64,False,1,6
3413,2021-04-29,23,M,65-,False,1,136
3414,2021-04-29,23,U,UNK,False,1,3
3616,2021-04-30,23,F,-64,False,1,362
3617,2021-04-30,23,F,65-,False,1,420
3618,2021-04-30,23,M,-64,False,1,69
3619,2021-04-30,23,M,65-,False,1,299
3620,2021-04-30,23,U,UNK,False,1,4
3843,2021-05-01,23,F,-64,False,1,132
3844,2021-05-01,23,F,65-,False,1,461
3845,2021-05-01,23,M,-64,False,1,35
3846,2021-05-01,23,M,65-,False,1,357
3847,2021-05-01,23,U,UNK,False,1,4
4044,2021-05-02,23,F,-64,False,1,29
4045,2021-05-02,23,F,65-,False,1,344
4046,2021-05-02,23,M,-64,False,1,7
4047,2021-05-02,23,M,65-,False,1,192
4048,2021-05-02,23,U,UNK,False,1,2
4214,2021-05-03,23,F,-64,False,1,3
4215,2021-05-03,23,F,65-,False,1,87
4216,2021-05-03,23,M,-64,False,1,3
4217,2021-05-03,23,M,65-,False,1,67
4381,2021-05-04,23,F,-64,False,1,1
4382,2021-05-04,23,F,65-,False,1,108
4383,2021-05-04,23,M,-64,False,1,4
4384,2021-05-04,23,M,65-,False,1,81
4385,2021-05-04,23,U,UNK,False,1,1
4557,2021-05-05,23,F,65-,False,1,249
4558,2021-05-05,23,F,65-,False,2,100
4559,2021-05-05,23,M,-64,False,1,3
4560,2021-05-05,23,M,65-,False,1,205
4561,2021-05-05,23,M,65-,False,2,93
4837,2021-05-06,23,F,-64,False,1,18
4838,2021-05-06,23,F,-64,False,2,1
4839,2021-05-06,23,F,65-,False,1,1279
4840,2021-05-06,23,F,65-,False,2,1
4841,2021-05-06,23,M,-64,False,1,9
4842,2021-05-06,23,M,65-,False,1,822
4843,2021-05-06,23,U,UNK,False,1,14
5225,2021-05-07,23,F,-64,False,1,71
5226,2021-05-07,23,F,-64,False,2,50
5227,2021-05-07,23,F,65-,False,1,661
5228,2021-05-07,23,F,65-,False,2,1
5229,2021-05-07,23,M,-64,False,1,10
5230,2021-05-07,23,M,-64,False,2,8
5231,2021-05-07,23,M,65-,False,1,323
5232,2021-05-07,23,M,65-,False,2,1
5233,2021-05-07,23,U,UNK,False,1,4
5599,2021-05-08,23,F,-64,False,1,112
5600,2021-05-08,23,F,-64,False,2,10
5601,2021-05-08,23,F,65-,False,1,1671
5602,2021-05-08,23,F,65-,False,2,87
5603,2021-05-08,23,M,-64,False,1,32
5604,2021-05-08,23,M,-64,False,2,7
5605,2021-05-08,23,M,65-,False,1,1110
5606,2021-05-08,23,M,65-,False,2,137
5607,2021-05-08,23,U,UNK,False,1,2
5608,2021-05-08,23,U,UNK,False,2,3
5934,2021-05-09,23,F,-64,False,1,10
5935,2021-05-09,23,F,65-,False,1,1105
5936,2021-05-09,23,F,65-,False,2,455
5937,2021-05-09,23,M,-64,False,1,9
5938,2021-05-09,23,M,65-,False,1,784
5939,2021-05-09,23,M,65-,False,2,311
5940,2021-05-09,23,U,UNK,False,1,9
6310,2021-05-10,23,F,-64,False,1,65
6311,2021-05-10,23,F,-64,False,2,94
6312,2021-05-10,23,F,65-,False,1,1433
6313,2021-05-10,23,F,65-,False,2,116
6314,2021-05-10,23,M,-64,False,1,24
6315,2021-05-10,23,M,-64,False,2,23
6316,2021-05-10,23,M,65-,False,1,931
6317,2021-05-10,23,M,65-,False,2,33
6318,2021-05-10,23,U,UNK,False,1,18
6319,2021-05-10,23,U,UNK,False,2,1
6753,2021-05-11,23,F,-64,False,1,86
