,date,prefecture,gender,age,medical_worker,status,count
56,2021-04-12,23,U,UNK,False,1,1
196,2021-04-13,23,F,-64,False,1,1
333,2021-04-14,23,F,-64,False,1,2
334,2021-04-14,23,F,65-,False,1,103
335,2021-04-14,23,M,65-,False,1,94
495,2021-04-15,23,F,-64,False,1,2
496,2021-04-15,23,F,65-,False,1,3
497,2021-04-15,23,M,-64,False,1,1
668,2021-04-16,23,F,-64,False,1,19
669,2021-04-16,23,F,65-,False,1,1
670,2021-04-16,23,M,-64,False,1,4
671,2021-04-16,23,M,65-,False,1,1
833,2021-04-17,23,F,-64,False,1,7
834,2021-04-17,23,F,65-,False,1,87
835,2021-04-17,23,M,-64,False,1,1
836,2021-04-17,23,M,65-,False,1,139
837,2021-04-17,23,U,UNK,False,1,1
954,2021-04-18,23,F,65-,False,1,460
955,2021-04-18,23,M,65-,False,1,309
1111,2021-04-19,23,F,-64,False,1,139
1112,2021-04-19,23,F,65-,False,1,166
1113,2021-04-19,23,M,-64,False,1,36
1114,2021-04-19,23,M,65-,False,1,46
1115,2021-04-19,23,U,UNK,False,1,1
1335,2021-04-20,23,F,-64,False,1,171
1336,2021-04-20,23,F,65-,False,1,126
1337,2021-04-20,23,M,-64,False,1,37
1338,2021-04-20,23,M,65-,False,1,36
1339,2021-04-20,23,U,UNK,False,1,5
1564,2021-04-21,23,F,-64,False,1,141
1565,2021-04-21,23,F,65-,False,1,237
1566,2021-04-21,23,M,-64,False,1,36
1567,2021-04-21,23,M,65-,False,1,120
1568,2021-04-21,23,U,UNK,False,1,2
1796,2021-04-22,23,F,-64,False,1,152
1797,2021-04-22,23,F,65-,False,1,200
1798,2021-04-22,23,M,-64,False,1,48
1799,2021-04-22,23,M,65-,False,1,60
1800,2021-04-22,23,U,UNK,False,1,7
2026,2021-04-23,23,F,-64,False,1,154
2027,2021-04-23,23,F,65-,False,1,122
2028,2021-04-23,23,M,-64,False,1,35
2029,2021-04-23,23,M,65-,False,1,40
2030,2021-04-23,23,U,UNK,False,1,5
2244,2021-04-24,23,F,-64,False,1,81
2245,2021-04-24,23,F,65-,False,1,236
2246,2021-04-24,23,M,-64,False,1,18
2247,2021-04-24,23,M,65-,False,1,137
2248,2021-04-24,23,U,UNK,False,1,3
2437,2021-04-25,23,F,-64,False,1,1
2438,2021-04-25,23,F,65-,False,1,368
2439,2021-04-25,23,M,-64,False,1,5
2440,2021-04-25,23,M,65-,False,1,240
2441,2021-04-25,23,U,UNK,False,1,1
2618,2021-04-26,23,F,-64,False,1,217
2619,2021-04-26,23,F,65-,False,1,314
2620,2021-04-26,23,M,-64,False,1,82
2621,2021-04-26,23,M,65-,False,1,203
2848,2021-04-27,23,F,-64,False,1,260
2849,2021-04-27,23,F,65-,False,1,347
2850,2021-04-27,23,M,-64,False,1,61
2851,2021-04-27,23,M,65-,False,1,232
2852,2021-04-27,23,U,UNK,False,1,8
3081,2021-04-28,23,F,-64,False,1,379
3082,2021-04-28,23,F,65-,False,1,494
