,date,prefecture,gender,age,medical_worker,status,count
55,2021-04-12,23,U,UNK,False,1,1
193,2021-04-13,23,F,-64,False,1,1
328,2021-04-14,23,F,-64,False,1,2
329,2021-04-14,23,F,65-,False,1,103
330,2021-04-14,23,M,65-,False,1,94
486,2021-04-15,23,F,-64,False,1,2
487,2021-04-15,23,F,65-,False,1,3
488,2021-04-15,23,M,-64,False,1,1
653,2021-04-16,23,F,-64,False,1,19
654,2021-04-16,23,F,65-,False,1,1
655,2021-04-16,23,M,-64,False,1,4
656,2021-04-16,23,M,65-,False,1,1
808,2021-04-17,23,F,-64,False,1,7
809,2021-04-17,23,F,65-,False,1,87
810,2021-04-17,23,M,-64,False,1,1
811,2021-04-17,23,M,65-,False,1,139
812,2021-04-17,23,U,UNK,False,1,1
924,2021-04-18,23,F,65-,False,1,460
925,2021-04-18,23,M,65-,False,1,309
1074,2021-04-19,23,F,-64,False,1,92
1075,2021-04-19,23,F,65-,False,1,161
1076,2021-04-19,23,M,-64,False,1,28
1077,2021-04-19,23,M,65-,False,1,41
1078,2021-04-19,23,U,UNK,False,1,1
1297,2021-04-20,23,F,-64,False,1,112
1298,2021-04-20,23,F,65-,False,1,121
1299,2021-04-20,23,M,-64,False,1,32
1300,2021-04-20,23,M,65-,False,1,34
1301,2021-04-20,23,U,UNK,False,1,3
1521,2021-04-21,23,F,-64,False,1,134
1522,2021-04-21,23,F,65-,False,1,237
1523,2021-04-21,23,M,-64,False,1,34
1524,2021-04-21,23,M,65-,False,1,118
1525,2021-04-21,23,U,UNK,False,1,2
1750,2021-04-22,23,F,-64,False,1,147
1751,2021-04-22,23,F,65-,False,1,200
1752,2021-04-22,23,M,-64,False,1,47
1753,2021-04-22,23,M,65-,False,1,61
1754,2021-04-22,23,U,UNK,False,1,6
1976,2021-04-23,23,F,-64,False,1,147
1977,2021-04-23,23,F,65-,False,1,122
1978,2021-04-23,23,M,-64,False,1,35
1979,2021-04-23,23,M,65-,False,1,39
1980,2021-04-23,23,U,UNK,False,1,5
2191,2021-04-24,23,F,-64,False,1,78
2192,2021-04-24,23,F,65-,False,1,236
2193,2021-04-24,23,M,-64,False,1,18
2194,2021-04-24,23,M,65-,False,1,137
2195,2021-04-24,23,U,UNK,False,1,3
2384,2021-04-25,23,F,-64,False,1,1
2385,2021-04-25,23,F,65-,False,1,368
2386,2021-04-25,23,M,-64,False,1,5
2387,2021-04-25,23,M,65-,False,1,240
2388,2021-04-25,23,U,UNK,False,1,1
2560,2021-04-26,23,F,-64,False,1,177
2561,2021-04-26,23,F,65-,False,1,305
2562,2021-04-26,23,M,-64,False,1,65
2563,2021-04-26,23,M,65-,False,1,201
2787,2021-04-27,23,F,-64,False,1,255
2788,2021-04-27,23,F,65-,False,1,347
2789,2021-04-27,23,M,-64,False,1,61
2790,2021-04-27,23,M,65-,False,1,232
2791,2021-04-27,23,U,UNK,False,1,6
3017,2021-04-28,23,F,-64,False,1,375
3018,2021-04-28,23,F,65-,False,1,493
3019,2021-04-28,23,M,-64,False,1,63
3020,2021-04-28,23,M,65-,False,1,298
3021,2021-04-28,23,U,UNK,False,1,5
3232,2021-04-29,23,F,-64,False,1,4
3233,2021-04-29,23,F,65-,False,1,209
3234,2021-04-29,23,M,-64,False,1,3
3235,2021-04-29,23,M,65-,False,1,134
3236,2021-04-29,23,U,UNK,False,1,1
3435,2021-04-30,23,F,-64,False,1,259
3436,2021-04-30,23,F,65-,False,1,415
3437,2021-04-30,23,M,-64,False,1,45
3438,2021-04-30,23,M,65-,False,1,292
3439,2021-04-30,23,U,UNK,False,1,2
3649,2021-05-01,23,F,-64,False,1,10
3650,2021-05-01,23,F,65-,False,1,453
3651,2021-05-01,23,M,-64,False,1,2
3652,2021-05-01,23,M,65-,False,1,349
3653,2021-05-01,23,U,UNK,False,1,1
3844,2021-05-02,23,F,-64,False,1,4
3845,2021-05-02,23,F,65-,False,1,342
3846,2021-05-02,23,M,-64,False,1,3
3847,2021-05-02,23,M,65-,False,1,190
3848,2021-05-02,23,U,UNK,False,1,2
4000,2021-05-03,23,F,-64,False,1,3
4001,2021-05-03,23,F,65-,False,1,87
4002,2021-05-03,23,M,-64,False,1,3
4003,2021-05-03,23,M,65-,False,1,67
4165,2021-05-04,23,F,-64,False,1,1
4166,2021-05-04,23,F,65-,False,1,108
4167,2021-05-04,23,M,-64,False,1,4
4168,2021-05-04,23,M,65-,False,1,81
4169,2021-05-04,23,U,UNK,False,1,1
4326,2021-05-05,23,F,65-,False,1,249
4327,2021-05-05,23,F,65-,False,2,100
4328,2021-05-05,23,M,-64,False,1,3
4329,2021-05-05,23,M,65-,False,1,205
4330,2021-05-05,23,M,65-,False,2,93
4582,2021-05-06,23,F,-64,False,1,14
4583,2021-05-06,23,F,65-,False,1,1278
4584,2021-05-06,23,F,65-,False,2,1
4585,2021-05-06,23,M,-64,False,1,8
4586,2021-05-06,23,M,65-,False,1,822
4587,2021-05-06,23,U,UNK,False,1,12
4943,2021-05-07,23,F,-64,False,1,26
4944,2021-05-07,23,F,65-,False,1,644
4945,2021-05-07,23,F,65-,False,2,1
4946,2021-05-07,23,M,-64,False,1,8
4947,2021-05-07,23,M,65-,False,1,320
4948,2021-05-07,23,M,65-,False,2,1
4949,2021-05-07,23,U,UNK,False,1,3
5276,2021-05-08,23,F,-64,False,1,10
5277,2021-05-08,23,F,65-,False,1,1663
5278,2021-05-08,23,F,65-,False,2,87
5279,2021-05-08,23,M,-64,False,1,8
5280,2021-05-08,23,M,65-,False,1,1107
5281,2021-05-08,23,M,65-,False,2,137
5282,2021-05-08,23,U,UNK,False,1,2
5283,2021-05-08,23,U,UNK,False,2,3
5586,2021-05-09,23,F,-64,False,1,10
5587,2021-05-09,23,F,65-,False,1,1101
5588,2021-05-09,23,F,65-,False,2,455
5589,2021-05-09,23,M,-64,False,1,9
5590,2021-05-09,23,M,65-,False,1,783
5591,2021-05-09,23,M,65-,False,2,311
5592,2021-05-09,23,U,UNK,False,1,9
5939,2021-05-10,23,F,-64,False,1,52
5940,2021-05-10,23,F,65-,False,1,1418
5941,2021-05-10,23,F,65-,False,2,111
5942,2021-05-10,23,M,-64,False,1,22
5943,2021-05-10,23,M,65-,False,1,927
5944,2021-05-10,23,M,65-,False,2,29
5945,2021-05-10,23,U,UNK,False,1,16
5946,2021-05-10,23,U,UNK,False,2,1
6363,2021-05-11,23,F,-64,False,1,35
6364,2021-05-11,23,F,-64,False,2,11
6365,2021-05-11,23,F,65-,False,1,1873
6366,2021-05-11,23,F,65-,False,2,98
6367,2021-05-11,23,M,-64,False,1,27
6368,2021-05-11,23,M,-64,False,2,2
6369,2021-05-11,23,M,65-,False,1,1100
6370,2021-05-11,23,M,65-,False,2,25
6371,2021-05-11,23,U,UNK,False,1,15
6372,2021-05-11,23,U,UNK,False,2,2
6816,2021-05-12,23,F,-64,False,1,25
6817,2021-05-12,23,F,-64,False,2,8
6818,2021-05-12,23,F,65-,False,1,4519
6819,2021-05-12,23,F,65-,False,2,182
6820,2021-05-12,23,M,-64,False,1,20
6821,2021-05-12,23,M,-64,False,2,1
6822,2021-05-12,23,M,65-,False,1,3511
6823,2021-05-12,23,M,65-,False,2,95
6824,2021-05-12,23,U,UNK,False,1,24
7262,2021-05-13,23,F,-64,False,1,65
7263,2021-05-13,23,F,-64,False,2,15
7264,2021-05-13,23,F,65-,False,1,3218
7265,2021-05-13,23,F,65-,False,2,129
7266,2021-05-13,23,M,-64,False,1,35
7267,2021-05-13,23,M,-64,False,2,2
7268,2021-05-13,23,M,65-,False,1,2303
7269,2021-05-13,23,M,65-,False,2,42
7270,2021-05-13,23,U,UNK,False,1,17
7271,2021-05-13,23,U,UNK,False,2,1
7699,2021-05-14,23,F,-64,False,1,39
7700,2021-05-14,23,F,-64,False,2,13
7701,2021-05-14,23,F,65-,False,1,2230
7702,2021-05-14,23,F,65-,False,2,167
7703,2021-05-14,23,M,-64,False,1,30
7704,2021-05-14,23,M,-64,False,2,1
7705,2021-05-14,23,M,65-,False,1,1390
