,date,prefecture,gender,age,medical_worker,status,count
56,2021-04-12,23,U,UNK,False,1,1
196,2021-04-13,23,F,-64,False,1,1
333,2021-04-14,23,F,-64,False,1,2
334,2021-04-14,23,F,65-,False,1,103
335,2021-04-14,23,M,65-,False,1,94
495,2021-04-15,23,F,-64,False,1,2
496,2021-04-15,23,F,65-,False,1,3
497,2021-04-15,23,M,-64,False,1,1
667,2021-04-16,23,F,-64,False,1,19
668,2021-04-16,23,F,65-,False,1,1
669,2021-04-16,23,M,-64,False,1,4
670,2021-04-16,23,M,65-,False,1,1
832,2021-04-17,23,F,-64,False,1,7
833,2021-04-17,23,F,65-,False,1,87
834,2021-04-17,23,M,-64,False,1,1
835,2021-04-17,23,M,65-,False,1,139
836,2021-04-17,23,U,UNK,False,1,1
953,2021-04-18,23,F,65-,False,1,460
954,2021-04-18,23,M,65-,False,1,309
1110,2021-04-19,23,F,-64,False,1,139
1111,2021-04-19,23,F,65-,False,1,166
1112,2021-04-19,23,M,-64,False,1,36
1113,2021-04-19,23,M,65-,False,1,46
1114,2021-04-19,23,U,UNK,False,1,1
1334,2021-04-20,23,F,-64,False,1,171
1335,2021-04-20,23,F,65-,False,1,126
1336,2021-04-20,23,M,-64,False,1,37
1337,2021-04-20,23,M,65-,False,1,36
1338,2021-04-20,23,U,UNK,False,1,5
1562,2021-04-21,23,F,-64,False,1,141
1563,2021-04-21,23,F,65-,False,1,237
1564,2021-04-21,23,M,-64,False,1,36
1565,2021-04-21,23,M,65-,False,1,120
1566,2021-04-21,23,U,UNK,False,1,2
1794,2021-04-22,23,F,-64,False,1,152
1795,2021-04-22,23,F,65-,False,1,200
1796,2021-04-22,23,M,-64,False,1,48
1797,2021-04-22,23,M,65-,False,1,60
1798,2021-04-22,23,U,UNK,False,1,7
2023,2021-04-23,23,F,-64,False,1,154
2024,2021-04-23,23,F,65-,False,1,122
2025,2021-04-23,23,M,-64,False,1,35
2026,2021-04-23,23,M,65-,False,1,40
2027,2021-04-23,23,U,UNK,False,1,5
2241,2021-04-24,23,F,-64,False,1,81
2242,2021-04-24,23,F,65-,False,1,236
2243,2021-04-24,23,M,-64,False,1,18
2244,2021-04-24,23,M,65-,False,1,137
2245,2021-04-24,23,U,UNK,False,1,3
2433,2021-04-25,23,F,-64,False,1,1
2434,2021-04-25,23,F,65-,False,1,368
2435,2021-04-25,23,M,-64,False,1,5
2436,2021-04-25,23,M,65-,False,1,240
2437,2021-04-25,23,U,UNK,False,1,1
2613,2021-04-26,23,F,-64,False,1,180
2614,2021-04-26,23,F,65-,False,1,306
2615,2021-04-26,23,M,-64,False,1,66
2616,2021-04-26,23,M,65-,False,1,201
2843,2021-04-27,23,F,-64,False,1,260
2844,2021-04-27,23,F,65-,False,1,347
2845,2021-04-27,23,M,-64,False,1,61
2846,2021-04-27,23,M,65-,False,1,232
2847,2021-04-27,23,U,UNK,False,1,8
3074,2021-04-28,23,F,-64,False,1,379
3075,2021-04-28,23,F,65-,False,1,494
