,date,prefecture,gender,age,medical_worker,status,count
56,2021-04-12,23,F,-64,False,1,2
57,2021-04-12,23,U,UNK,False,1,1
197,2021-04-13,23,F,-64,False,1,1
336,2021-04-14,23,F,-64,False,1,6
337,2021-04-14,23,F,65-,False,1,103
338,2021-04-14,23,M,65-,False,1,94
498,2021-04-15,23,F,-64,False,1,2
499,2021-04-15,23,F,65-,False,1,3
500,2021-04-15,23,M,-64,False,1,1
671,2021-04-16,23,F,-64,False,1,61
672,2021-04-16,23,F,65-,False,1,1
673,2021-04-16,23,M,-64,False,1,12
674,2021-04-16,23,M,65-,False,1,1
839,2021-04-17,23,F,-64,False,1,7
840,2021-04-17,23,F,65-,False,1,87
841,2021-04-17,23,M,-64,False,1,1
842,2021-04-17,23,M,65-,False,1,139
843,2021-04-17,23,U,UNK,False,1,1
961,2021-04-18,23,F,65-,False,1,460
962,2021-04-18,23,M,65-,False,1,309
1119,2021-04-19,23,F,-64,False,1,187
1120,2021-04-19,23,F,65-,False,1,171
1121,2021-04-19,23,M,-64,False,1,40
1122,2021-04-19,23,M,65-,False,1,49
1123,2021-04-19,23,U,UNK,False,1,1
1346,2021-04-20,23,F,-64,False,1,298
1347,2021-04-20,23,F,65-,False,1,139
1348,2021-04-20,23,M,-64,False,1,55
1349,2021-04-20,23,M,65-,False,1,45
1350,2021-04-20,23,U,UNK,False,1,5
1578,2021-04-21,23,F,-64,False,1,234
1579,2021-04-21,23,F,65-,False,1,241
1580,2021-04-21,23,M,-64,False,1,49
1581,2021-04-21,23,M,65-,False,1,124
1582,2021-04-21,23,U,UNK,False,1,2
1811,2021-04-22,23,F,-64,False,1,245
1812,2021-04-22,23,F,65-,False,1,209
1813,2021-04-22,23,M,-64,False,1,66
1814,2021-04-22,23,M,65-,False,1,64
1815,2021-04-22,23,U,UNK,False,1,7
2042,2021-04-23,23,F,-64,False,1,224
2043,2021-04-23,23,F,65-,False,1,127
2044,2021-04-23,23,M,-64,False,1,60
2045,2021-04-23,23,M,65-,False,1,44
2046,2021-04-23,23,U,UNK,False,1,6
2261,2021-04-24,23,F,-64,False,1,113
2262,2021-04-24,23,F,65-,False,1,239
2263,2021-04-24,23,M,-64,False,1,34
2264,2021-04-24,23,M,65-,False,1,139
2265,2021-04-24,23,U,UNK,False,1,3
2456,2021-04-25,23,F,-64,False,1,45
