,date,prefecture,gender,age,medical_worker,status,count
63,2021-04-12,23,F,-64,False,1,2
64,2021-04-12,23,U,UNK,False,1,1
204,2021-04-13,23,F,-64,False,1,1
205,2021-04-13,23,M,-64,False,1,2
346,2021-04-14,23,F,-64,False,1,6
347,2021-04-14,23,F,65-,False,1,103
348,2021-04-14,23,M,65-,False,1,94
511,2021-04-15,23,F,-64,False,1,8
512,2021-04-15,23,F,65-,False,1,3
513,2021-04-15,23,M,-64,False,1,2
690,2021-04-16,23,F,-64,False,1,64
691,2021-04-16,23,F,65-,False,1,1
692,2021-04-16,23,M,-64,False,1,12
693,2021-04-16,23,M,65-,False,1,2
864,2021-04-17,23,F,-64,False,1,7
865,2021-04-17,23,F,65-,False,1,87
866,2021-04-17,23,M,-64,False,1,2
867,2021-04-17,23,M,65-,False,1,139
868,2021-04-17,23,U,UNK,False,1,1
995,2021-04-18,23,F,65-,False,1,460
996,2021-04-18,23,M,65-,False,1,309
1155,2021-04-19,23,F,-64,False,1,197
1156,2021-04-19,23,F,65-,False,1,178
1157,2021-04-19,23,M,-64,False,1,43
1158,2021-04-19,23,M,65-,False,1,53
1159,2021-04-19,23,U,UNK,False,1,1
1383,2021-04-20,23,F,-64,False,1,310
1384,2021-04-20,23,F,65-,False,1,140
1385,2021-04-20,23,M,-64,False,1,57
1386,2021-04-20,23,M,65-,False,1,48
1387,2021-04-20,23,U,UNK,False,1,8
1617,2021-04-21,23,F,-64,False,1,292
1618,2021-04-21,23,F,65-,False,1,257
1619,2021-04-21,23,M,-64,False,1,61
1620,2021-04-21,23,M,65-,False,1,135
1621,2021-04-21,23,U,UNK,False,1,2
1850,2021-04-22,23,F,-64,False,1,298
1851,2021-04-22,23,F,65-,False,1,216
1852,2021-04-22,23,M,-64,False,1,76
1853,2021-04-22,23,M,65-,False,1,68
1854,2021-04-22,23,U,UNK,False,1,7
2082,2021-04-23,23,F,-64,False,1,289
2083,2021-04-23,23,F,65-,False,1,137
2084,2021-04-23,23,M,-64,False,1,69
2085,2021-04-23,23,M,65-,False,1,52
2086,2021-04-23,23,U,UNK,False,1,6
2306,2021-04-24,23,F,-64,False,1,122
2307,2021-04-24,23,F,65-,False,1,240
2308,2021-04-24,23,M,-64,False,1,42
2309,2021-04-24,23,M,65-,False,1,140
2310,2021-04-24,23,U,UNK,False,1,3
2510,2021-04-25,23,F,-64,False,1,46
2511,2021-04-25,23,F,65-,False,1,373
2512,2021-04-25,23,M,-64,False,1,13
2513,2021-04-25,23,M,65-,False,1,244
2514,2021-04-25,23,U,UNK,False,1,1
2698,2021-04-26,23,F,-64,False,1,275
2699,2021-04-26,23,F,65-,False,1,324
2700,2021-04-26,23,M,-64,False,1,94
2701,2021-04-26,23,M,65-,False,1,205
2702,2021-04-26,23,U,UNK,False,1,1
2931,2021-04-27,23,F,-64,False,1,366
2932,2021-04-27,23,F,65-,False,1,355
2933,2021-04-27,23,M,-64,False,1,81
2934,2021-04-27,23,M,65-,False,1,239
2935,2021-04-27,23,U,UNK,False,1,8
3167,2021-04-28,23,F,-64,False,1,470
3168,2021-04-28,23,F,65-,False,1,496
3169,2021-04-28,23,M,-64,False,1,81
3170,2021-04-28,23,M,65-,False,1,305
3171,2021-04-28,23,U,UNK,False,1,6
3390,2021-04-29,23,F,-64,False,1,15
3391,2021-04-29,23,F,65-,False,1,207
3392,2021-04-29,23,M,-64,False,1,6
3393,2021-04-29,23,M,65-,False,1,136
3394,2021-04-29,23,U,UNK,False,1,3
3596,2021-04-30,23,F,-64,False,1,346
3597,2021-04-30,23,F,65-,False,1,419
3598,2021-04-30,23,M,-64,False,1,67
3599,2021-04-30,23,M,65-,False,1,298
3600,2021-04-30,23,U,UNK,False,1,4
3821,2021-05-01,23,F,-64,False,1,98
3822,2021-05-01,23,F,65-,False,1,461
3823,2021-05-01,23,M,-64,False,1,27
3824,2021-05-01,23,M,65-,False,1,357
3825,2021-05-01,23,U,UNK,False,1,4
4019,2021-05-02,23,F,-64,False,1,4
4020,2021-05-02,23,F,65-,False,1,342
4021,2021-05-02,23,M,-64,False,1,3
4022,2021-05-02,23,M,65-,False,1,190
4023,2021-05-02,23,U,UNK,False,1,2
4189,2021-05-03,23,F,-64,False,1,3
4190,2021-05-03,23,F,65-,False,1,87
4191,2021-05-03,23,M,-64,False,1,3
4192,2021-05-03,23,M,65-,False,1,67
4357,2021-05-04,23,F,-64,False,1,1
4358,2021-05-04,23,F,65-,False,1,108
4359,2021-05-04,23,M,-64,False,1,4
4360,2021-05-04,23,M,65-,False,1,81
4361,2021-05-04,23,U,UNK,False,1,1
4533,2021-05-05,23,F,65-,False,1,249
4534,2021-05-05,23,F,65-,False,2,100
4535,2021-05-05,23,M,-64,False,1,3
4536,2021-05-05,23,M,65-,False,1,205
4537,2021-05-05,23,M,65-,False,2,93
4811,2021-05-06,23,F,-64,False,1,18
4812,2021-05-06,23,F,-64,False,2,1
4813,2021-05-06,23,F,65-,False,1,1279
4814,2021-05-06,23,F,65-,False,2,1
4815,2021-05-06,23,M,-64,False,1,9
4816,2021-05-06,23,M,65-,False,1,822
4817,2021-05-06,23,U,UNK,False,1,14
5197,2021-05-07,23,F,-64,False,1,31
5198,2021-05-07,23,F,-64,False,2,50
5199,2021-05-07,23,F,65-,False,1,661
5200,2021-05-07,23,F,65-,False,2,1
5201,2021-05-07,23,M,-64,False,1,8
5202,2021-05-07,23,M,-64,False,2,8
5203,2021-05-07,23,M,65-,False,1,323
5204,2021-05-07,23,M,65-,False,2,1
5205,2021-05-07,23,U,UNK,False,1,3
5565,2021-05-08,23,F,-64,False,1,53
5566,2021-05-08,23,F,-64,False,2,10
5567,2021-05-08,23,F,65-,False,1,1671
5568,2021-05-08,23,F,65-,False,2,87
5569,2021-05-08,23,M,-64,False,1,18
5570,2021-05-08,23,M,-64,False,2,7
5571,2021-05-08,23,M,65-,False,1,1110
5572,2021-05-08,23,M,65-,False,2,137
5573,2021-05-08,23,U,UNK,False,1,2
5574,2021-05-08,23,U,UNK,False,2,3
5897,2021-05-09,23,F,-64,False,1,10
5898,2021-05-09,23,F,65-,False,1,1105
5899,2021-05-09,23,F,65-,False,2,455
5900,2021-05-09,23,M,-64,False,1,9
5901,2021-05-09,23,M,65-,False,1,784
5902,2021-05-09,23,M,65-,False,2,311
5903,2021-05-09,23,U,UNK,False,1,9
6267,2021-05-10,23,F,-64,False,1,65
6268,2021-05-10,23,F,-64,False,2,83
6269,2021-05-10,23,F,65-,False,1,1433
6270,2021-05-10,23,F,65-,False,2,116
6271,2021-05-10,23,M,-64,False,1,24
6272,2021-05-10,23,M,-64,False,2,22
6273,2021-05-10,23,M,65-,False,1,931
6274,2021-05-10,23,M,65-,False,2,33
6275,2021-05-10,23,U,UNK,False,1,18
6276,2021-05-10,23,U,UNK,False,2,1
6705,2021-05-11,23,F,-64,False,1,84
