,date,prefecture,gender,age,medical_worker,status,count
54,2021-04-12,23,U,UNK,False,1,1
192,2021-04-13,23,F,-64,False,1,1
326,2021-04-14,23,F,-64,False,1,2
327,2021-04-14,23,F,65-,False,1,103
328,2021-04-14,23,M,65-,False,1,94
482,2021-04-15,23,F,-64,False,1,2
483,2021-04-15,23,F,65-,False,1,3
484,2021-04-15,23,M,-64,False,1,1
649,2021-04-16,23,F,-64,False,1,19
650,2021-04-16,23,F,65-,False,1,1
651,2021-04-16,23,M,-64,False,1,4
652,2021-04-16,23,M,65-,False,1,1
804,2021-04-17,23,F,-64,False,1,7
805,2021-04-17,23,F,65-,False,1,87
806,2021-04-17,23,M,-64,False,1,1
807,2021-04-17,23,M,65-,False,1,139
808,2021-04-17,23,U,UNK,False,1,1
919,2021-04-18,23,F,65-,False,1,460
920,2021-04-18,23,M,65-,False,1,309
1066,2021-04-19,23,F,-64,False,1,92
1067,2021-04-19,23,F,65-,False,1,159
1068,2021-04-19,23,M,-64,False,1,28
1069,2021-04-19,23,M,65-,False,1,41
1070,2021-04-19,23,U,UNK,False,1,1
1287,2021-04-20,23,F,-64,False,1,110
1288,2021-04-20,23,F,65-,False,1,120
1289,2021-04-20,23,M,-64,False,1,32
1290,2021-04-20,23,M,65-,False,1,34
1291,2021-04-20,23,U,UNK,False,1,3
1510,2021-04-21,23,F,-64,False,1,134
1511,2021-04-21,23,F,65-,False,1,235
1512,2021-04-21,23,M,-64,False,1,34
1513,2021-04-21,23,M,65-,False,1,117
1514,2021-04-21,23,U,UNK,False,1,2
1738,2021-04-22,23,F,-64,False,1,147
1739,2021-04-22,23,F,65-,False,1,198
1740,2021-04-22,23,M,-64,False,1,47
1741,2021-04-22,23,M,65-,False,1,61
1742,2021-04-22,23,U,UNK,False,1,6
1960,2021-04-23,23,F,-64,False,1,147
1961,2021-04-23,23,F,65-,False,1,120
1962,2021-04-23,23,M,-64,False,1,35
1963,2021-04-23,23,M,65-,False,1,39
1964,2021-04-23,23,U,UNK,False,1,5
2172,2021-04-24,23,F,-64,False,1,78
2173,2021-04-24,23,F,65-,False,1,236
